domain,lmdb_key,db_prop,db_class,description,key_schema,value_schema,mult,proposed_keri_ts_target,phase,status,priority,notes
"Baser","pdes.",".pdes","OnIoDupSuber","snKey: partially delegated key event escrows; maps pre+sn -> SAID","(pre, sn)","[said]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","udes.",".udes","CatCesrSuber","dgKey: unverified delegation seal source couple escrows; maps pre,dig -> seal","(pre, said)","(Seqner, Saider)","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","uwes.",".uwes","LMDB","snKey: unverified event indexed escrowed couples from witness signers","(pre, sn)","[bytes(edig + wig)]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","ooes.",".ooes","LMDB","snKey: out of order escrowed event tables; maps pre+sn -> SAID","(pre, sn)","[said]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","dels.",".dels","LMDB","snKey: duplicitous event log tables; maps sn -> SAID","(pre, sn)","[dig]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","ldes.",".ldes","LMDB","snKey: likely duplicitous escrowed event tables; maps sn -> SAID","(pre, sn)","[said]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","qnfs.",".qnfs","IoSetSuber","dgKey: query not found escrows; maps pre+SAID -> SAID","(pre, said)","[saidb]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","fons.",".fons","CesrSuber","dgKey: first seen ordinal number of seen events, for superseeding recovery rotation","(pre, said)","Seqner","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","migs.",".migs","CesrSuber","database migrations","string","dt","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","vers.",".vers","Suber","database version table (unused)","(str,)","Dater","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","esrs.",".esrs","Komer","dgKey: event source record: local (protected) or non-local (remote, not protected)","(str,)","str","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","mfes.",".misfits","IoSetsuber","snKey: misfit escrows, remote (non-local) events to be dropped unless authenticated","(pre, said)","EventSourceRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","dees.",".delegables","IoSetSuber","snKey: delegable event escrows of KEL evts with local delegator needing approval","(pre, snh)","said","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","stts.",".states","Komer","latest keystate for a prefix; maps prefix -> keystate record","pre","KeyStateRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","wits.",".wits","CesrIoSetSuber","dgKey: list of witnesses for a given event; maps dg+SAID -> [witpre]","(pre, KEL evt SAID)","[Prefixer (wits)]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","habs.",".habs","Komer","Habitat records (controller databases)","ns + b'\x00' + name","HabitatRecord","1","packages/keri/src/db/basing.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity"
"Baser","names.",".names","Suber","Habitat name database; maps (domain, name) -> Prefixer","(ns, name)","pre","1","packages/keri/src/db/basing.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity"
"Baser","sdts.",".sdts","CesrSuber","SAD support timestamps and signatures, indexed and non-indexed; maps SAID -> dt","(said,)","dater","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","ssgs.",".ssgs","CesrIoSetSuber","SAD indexed signatures; maps SAD quadkeys -> [Siger]","(said, pre, snh, ssaid)","[sigers]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","scgs.",".scgs","CatcesrIoSetSuber","SAD non-indexed signatures; maps SAD SAID to couple of (Verfer, Cigar) NTSigs","(saider,)","[(verfer, cigar)]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","rpys.",".rpys","SerderSuber","Reply '/rpy' messages. Uses .sdts, ssgs, and .scgs for datetimes and sigs","(saider,)","SerderKERI","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","rpes.",".repes","CesrIoSetSuber","Reply '/rpy' escrow indices of partially signed reply messages; Maps route->SAID","(route,)","[saider]","*","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","eans.",".eans","CesrSuber","AuthN/AuthZ by local controller cid of endpoint provider at eid for 'role'","(cid.role.eid)","SAID","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","lans.",".lans","CesrSuber","AuthN/AuthZ by endpoint provider at eid of location at scheme in URL","(cid.role.eid)","SAID","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","ends.",".ends","Komer","Service endpoint identifier (eid) auths keyed by controller; extracted from rpy msg","(cid.role.eid)","EndpointRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","locs.",".locs","Komer","Service endpoint locations keyed by eid.scheme","(aid, scheme)","LocationRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","obvs.",".obvs","Komer","Observed IDs (oid) keyed by cid (ctlr), aid (watchr), oid (obsv)","(cid.aid.oid)","ObservedRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","witm.",".tops","Komer","Index of last retrieved message from witness mailbox","(pre, witpre)","TopicsRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","gpse.",".gpse","CatCesrIoSetSuber","Group partial signature escrow","(pre,)","(sn, said)","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","gdee.",".gdee","CatCesrIoSetSuber","Group delegate escrow","(pre,)","(sn, said)","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","gdwe.",".gpwe","CatCesrIoSetSuber","Group partial witness escrow","(pre,)","(sn, said)","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","cgms.",".cgms","CesrSuber","snKey: Completed Group Multisig","(pre, sn)","saider","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","epse.",".epse","SerderSuber","Exchange message partial signature escrow","(dig,)","SerderKERI","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","epsd.",".epsd","CesrSuber","Exchange message partial signature escrow date time of message","(dig,)","Dater","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","exns.",".exns","SerderSuber","Exchange 'exn' messages","(dig,)","SerderKERI","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","erpy.",".erpy","CesrSuber","Forward pointer to a provided reply message","(pdig,)","said","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","esigs.",".esigs","CesrIoSetSuber","Exchange message indexed signatures","(said, pre, snh, ssaid)","Siger","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","ecigs.",".ecigs","CatCesrIoSetSuber","Exchange message non-indexed signatures","(dig,)","(verfer, cigar)","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser",".epath",".epath","IoSetSuber","Exchange message pathed attachments","(dig,)","[bytes(path)]","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser",".essars",".essrs","CesrIoSetSuber","Encrypt Sender Sign Receiver (ESSR) messages","(dig,)","Texter","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","chas.",".chas","CesrIoSetSuber","Accepted, signed 12-word challenge response 'exn' messages keyed by signer prefix","(sig,)","Saider","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","reps.",".reps","CesrIoSetSuber","Successful, signed 12-word challenge response 'exn' messages keyed by signer prefix","(signer,)","Saider","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","wkas.",".wkas","IoSetKomer","Authorized, well-known OOBIs","(cid,)","WellKnownAuthN","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","kdts.",".kdts","CesrSuber","KSN date time stamps and signatures, indexed and non-indexed; maps SAID -> dt","(saider,)","dater","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","ksns.",".ksns","Komer","Key state messages. Maps key state SAID -> bytes; uses .kdts, .ksgs, and .kcgs","(saider,)","KeyStateRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","knas.",".knas","CesrSuber","Key state SAID database for successful 'ksn' events; maps (pre, aid) -> SAID","(ksr.i, aid)","Saider","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","wwas.",".wwas","CesrSuber","Watcher watched SAID db for successfully saved watched AIDs for a watcher","(cid, aid, oid)","Saider","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","oobis.",".oobis","Komer","Config-loaded OOBIs to be processed asynchronously; keyed by OOBI URL","OOBI URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","eoobi.",".eoobi","Komer","Escrow OOBIs that failed to load, retriable; keyed by OOBI URL","OOBI URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","coobi.",".coobi","Komer","OOBIs with outstanding client requests","OOBI URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","roobi.",".roobi","Komer","Resolved OOBIs successfully processed","OOBI URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","woobi.",".woobi","Komer","Well-known OOBIs to be used for MFA against a resolved OOBI","OOBI URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","moobi.",".moobi","Komer","Multi-OOBI where association is made between one AID and multiple OOBIs","OOBI URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","mfa.",".mfa","Komer","Multifactor well-known OOBI authentication records to process; keyed by ctrlr URL","controller URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","rmfa.",".rmfa","Komer","Resolved multifactor well-known OOBI auth records; keyed by ctrlr URL","controller URL","OobiRecord","1","packages/keri/src/db/basing.ts","D4","Missing","P1","Seeded from lmdb-dumper inventory"
"Baser","schema.",".schema","SchemerSuber","JSONSchema SADs for ACDC schemas; keyed by the schema SAID","said","JSON (schema)","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","cfld.",".cfld","Suber","Field values for contact information for remote identifiers; keyed by prefix/field","(pre, field)","JSON string data","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","hbys.",".hbys","Suber","Global settings for Habery environment","name","pre","1","packages/keri/src/db/basing.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity"
"Baser","cons.",".cons","Suber","Signed contact data; keyed by prefix","(pre, )","byte(raw JSON)","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","ccigs.",".ccigs","CesrSuber","Transferable signatures on contact data","(pre,)","Cigar","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","imgs.",".imgs","LMDB","Chunked image data of contact information for remote identifiers","pre.idx, pre.content-type","type bytes, img bytes","*","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","dpwe.",".dpwe","SerderSuber","Delegation escrow for partially witnessed delegated events","(pre, said)","SerderKERI","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","dune.",".dune","SerderSuber","Delegation escrow for delegated unanchored events","(pre, said)","SerderKERI","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","dpub.",".dpub","SerderSuber","Delegation escrow for delegate publication for sending delegator info to witnesses","(pre, said)","SerderKERI","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","cdel.",".cdel","CesrSuber","Completed group delegated AIDs","(pre, sn)","Saider","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","meids.",".meids","CesrIOSetSuber","Multisig embed paypoad SAID -> containing EXN messages across participants","(said,)","Saider","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Baser","maids.",".maids","CesrIoSetSuber","Multisig embed payload SAID -> group multisig participant AIDs","(said,)","Prefixer","1","packages/keri/src/db/basing.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","tvts.",".tvts","LMDB","dgKey: serialized TEL events","(pre, evt digest)","SerderKERI","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","tels.",".tels","LMDB","snKey: TEL tables mapping sn -> evt digest","(pre, sn TEL vet)","SAID of ^ (SerderKERI)","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","ancs.",".ancs","LMDB","dgKey: anchors to KEL events (sn, dig) that anchor iss or rev evts","(pre, evt digest)","(Seqner, Saider)","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","tibs.",".tibs","LMDB dups","dgKey: indexed backer sigs (index=offset in backer list)","(pre, evt digest)","[Siger (indexed)]","*","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","baks.",".baks","LMDB dups","dgKey: ordered list of bakers at given point in mgt TEL","(pre, evt digest)","[Backer AIDs (wits)]","*","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","oots.",".oots","LMDB","snKey: out of order escrowed evt tables: sn -> evt digest","(pre, sn KEL evt)","SAIDb (bytes) of TEL evt","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","twes.",".twes","LMDB","snKey: partial-witnessed escrowed TEL evt tables: sn -> evt digest","(pre, sn TEL evt)","SAIDb (bytes) of TEL evt","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","taes.",".taes","LMDB","snKey: anchorless escrowed TEL evt tables: sn -> evt digest","(pre, sn TEL evt)","SAIDb (bytes) of TEL evt","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","tets.",".tets","CesrSuber","dgKey: TEL event timestamps. Apparently not used.","(pre, evt digest)","Dater","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","stts.",".states","Komer","name: reg Identifier: RegStateRecord","reg evt SAID","RegStateRecord","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","creds.",".creds","SerderSuber","said: Stores credentials keyed by credential SAID","cred SAID","SerderACDC","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","cancs.",".cancs","CatCesrSuber","said: Anchors to credentials, keyed by credential SAID","cred SAID","(Prefixer, Seqner, Saider)","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","ssgs.",".spsgs","CesrIoSetSuber","sad-pathed indexed signatures; SAD quinkey -> Siger (trans)","(SAID, path, pre, sn, dig)","Siger","?","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","scgs.",".spcgs","CatCesrIoSetSuber","sad-pathed non-indexed signatures; SAD couple -> (Verfer, Siger) (non-trans)","","(Verfer, Cigar)","?","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","saved.",".saved","CesrSuber","Index of creds processed + saved. Indicates fully verified, even if revoked","saider.qb64","Saider","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","issus.",".issus","CesrDupSuber","Index of creds by issuer. My credentials issued, key == hab.pre","pre","Saider","*","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","subjs.",".subjs","CesrDupSuber","Index of creds by subject. My credentials received, key == hab.pre","pre","Saider","*","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","schms.",".schms","CesrDupSuber","Index of credentials by schema. Key == schema SAID","SAID of schema","Saider","*","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","mre.",".mre","CesrSuber","Missing registry escrow","SAID of cred","Dater","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","mce.",".mce","CesrSuber","Broken chain escrow","SAID of cred","Dater","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","mse.",".mse","CesrSuber","Missing schema escrow","SAID of cred","Dater","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","txn.",".txnsb","Broker","Collection of sub-dbs for persisting Registry Txn State Notices","N/A","multi (see below)","N/A","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","txn.-dts.",".txnsb.daterdb","CesrSuber","State support datetime stamps and signatures, indexed and non-indexed, ksns","(SAID,)","Dater","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","txn.-sns.",".txnsdb.serderdb","SerderSuber","All Reply 'rpy' messages holding key state messages. rpy SAID -> serder","(SAID,)","Reply 'rpy' msg SerderKERI","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","txn.-sgs.",".txnsdb.tigerdb","CesrIoSetSuber","ksn indexed sigs; maps ksn quadkey -> est evt signers","(SAID, pre, sn, dig)","Siger","*","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","txn.-cgs.",".txnsdb.cigardb","CatCesrIoSetSuber","ksn non-indexed sigs; maps ksn SAID -> (Verfer, Cigar) of non-trans signers","(SAID,)","Cigar","*","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","txn.-nes",".txnsdb.escrowdb","CesrIoSetSuber","Key state escrow indices of partially signed KSN; maps reply route -> SAID of escrowed ksn","(typ, pre, aid)","Saider","*1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","txn.-nas.",".txnsdb.saiderdb","CesrSuber","Successful TSN tx state db; maps (issuer prefix, aid) -> SAID of tx state","(rpy iss pre, aid)","Saider","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","regs.",".regs","Komer","habitat name str is key: registry name -> registry record","name","RegistryRecord","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","tpwe.",".tpwe","CatCesrIoSetSuber","TEL partial witness escrow","(regk, sn)","(Prefixer, Seqner, Saider)","*","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","tmse.",".tmse","CatCesrIoSetSuber","TEL multisig anchor escrow. Regd is SAID of vcp evt","(regk, sn, regd)","(Prefixer, Seqner, Saider)","*","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","tede.",".tede","CatCesrIoSetSuber","TEL event dissemination escrow","(regk, sn)","(Prefixer, Seqner, Saider)","*","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","ctel.",".ctel","CesrSuber","Completed TEL event","(regk, sn)","Saider","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","cmse.",".cmse","SerderSuber","Credential Missing Signature Escrow","(cred SAID, sn)","SerderACDC","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Reger","ccrd.",".ccrd","SerderSuber","Completed Credentials","(cred SAID)","SerderACDC","1","packages/keri/src/db/reger.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Keeper","gbls.",".glbs","Suber","Global parameters for all prefixes. param label -> param","(pre, evt SAID)","raw SerderKERI","1","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity"
"Keeper","pris.",".pris","CryptSignerSuber","pubkey -> privkey","qb64: public key","qb64: private key","1","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity"
"Keeper","prxs.",".prxs","CesrSuber","Not yet used by KERIpy, added by Phil for GroupSignifyHab","?","Cipher","?","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity"
"Keeper","nxts.",".nxts","CesrSuber","Not yet used by KERIpy, added by Phil for GroupSignifyHab","?","Cipher","?","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity"
"Keeper","smids.",".smids","CatCesrIoSetSuber","Not yet used by KERIpy, added by Phil for GroupSignifyHab","?","(Prefixer, Seqner)","?","packages/keri/src/db/keeping.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Keeper","rmids.",".rmids","CatCesrIoSetSuber","Not yet used by KERIpy, added by Phil for GroupSignifyHab","?","(Prefixer, Seqner)","?","packages/keri/src/db/keeping.ts","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Keeper","pres.",".pres","Cesrsuber","Index of keys to pre; 1stpubkey -> prefix/1stpubkey(temp)","qb64: 1stpubkey","qb64: pre/1stpub","1","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity"
"Keeper","prms.",".prms","Komer","Key parameters; pre -> PrePrm","qb64: pre","PrePrm","1","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity"
"Keeper","sits.",".sits","Komer","Key situations; pre -> PreSit","qb64: pre","PreSit","1","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity"
"Keeper","pubs.",".pubs","Komer","Index of pubkeys by pre & ridx for replay in est evt order","riKey: (pre, ri)","PubSet","1","packages/keri/src/db/keeping.ts","D4","Partial","P1","Present in current TS raw-LMDB slice; requires Suber/Komer parity"
"Noter","nots.",".notes","DigterSuber","Stores Notice (notification) objects","(dt, rid)","Notice","1","packages/keri/src/db/noting.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Noter","nidx.",".nidx","Suber","Stores datetimes that Notice objects were added to the database","(rid,)","datetimestamp","1","packages/keri/src/db/noting.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
"Noter","ncigs.",".ncigs","CesrSuber","Stores signatures of Notice objects","(rid,)","Cigar","1","packages/keri/src/db/noting.ts (planned)","D4","Missing","P2","Seeded from lmdb-dumper inventory"
